eth.src,eth.dst,ip.src,ip.dst,ip.proto
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,104.16.112.18,6
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,104.16.112.18,10.134.116.85,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,104.16.112.18,6
78:2b:cb:97:1a:23,33:33:00:01:00:03,,,
78:2b:cb:97:1a:23,01:00:5e:00:00:fc,10.134.73.14,224.0.0.252,17
00:0c:29:d1:c7:40,01:00:5e:00:00:16,10.134.87.108,224.0.0.22,2
78:2b:cb:97:1a:23,ff:ff:ff:ff:ff:ff,10.134.73.14,10.134.127.255,17
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,104.16.112.18,10.134.116.85,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,104.16.112.18,6
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,104.16.112.18,10.134.116.85,6
6c:0b:84:67:c4:2e,ff:ff:ff:ff:ff:ff,10.134.127.99,10.134.127.255,17
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,ff:ff:ff:ff:ff:ff,10.134.127.99,10.134.127.255,17
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,104.16.112.18,6
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,01:00:5e:7f:ff:fa,10.134.127.99,239.255.255.250,17
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,151.101.129.69,6
00:0c:29:b1:d5:89,01:00:5e:00:00:16,10.134.96.142,224.0.0.22,2
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,151.101.129.69,10.134.116.85,6
18:66:da:ea:8c:f2,01:00:5e:00:00:16,10.134.72.146,224.0.0.22,2
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
78:2b:cb:97:1a:23,ff:ff:ff:ff:ff:ff,10.134.73.14,10.134.127.255,17
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
6c:0b:84:67:c4:2e,ff:ff:ff:ff:ff:ff,10.134.127.99,10.134.127.255,17
6c:0b:84:67:c4:2e,ff:ff:ff:ff:ff:ff,10.134.127.99,10.134.127.255,17
00:0c:29:7e:da:10,01:00:5e:00:00:16,10.134.68.215,224.0.0.22,2
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
84:5b:12:5e:36:0a,33:33:ff:c6:e5:23,,,
78:2b:cb:97:1a:23,ff:ff:ff:ff:ff:ff,10.134.73.14,10.134.127.255,17
6c:0b:84:67:c4:2e,ff:ff:ff:ff:ff:ff,10.134.127.99,10.134.127.255,17
6c:0b:84:67:c4:2e,ff:ff:ff:ff:ff:ff,10.134.127.99,10.134.127.255,17
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,223.119.236.226,6
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,223.119.236.226,10.134.116.85,6
00:0c:29:98:08:8d,01:00:5e:00:00:16,10.134.109.94,224.0.0.22,2
00:0c:29:17:14:9f,01:00:5e:00:00:16,10.134.77.202,224.0.0.22,2
64:00:6a:72:2f:2c,01:00:5e:7f:ff:fa,10.134.126.60,239.255.255.250,17
00:0c:29:27:5a:fc,01:00:5e:00:00:16,10.134.93.108,224.0.0.22,2
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,23.199.85.209,6
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
64:00:6a:72:2f:2c,33:33:ff:c5:af:70,,,
00:0c:29:31:d3:87,01:00:5e:00:00:16,10.134.111.229,224.0.0.22,2
00:0c:29:ce:51:d4,01:00:5e:00:00:16,10.134.119.61,224.0.0.22,2
00:0c:29:50:77:78,01:00:5e:00:00:16,10.134.89.187,224.0.0.22,2
00:0c:29:61:1d:df,01:00:5e:00:00:16,10.134.74.149,224.0.0.22,2
6c:0b:84:67:c4:2e,01:00:5e:7f:ff:fa,10.134.127.99,239.255.255.250,17
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
00:0c:29:a4:03:f9,01:00:5e:00:00:16,10.134.84.206,224.0.0.22,2
00:0c:29:29:ad:c0,01:00:5e:00:00:16,10.134.97.235,224.0.0.22,2
84:5b:12:5e:36:0a,33:33:ff:5e:f6:a8,,,
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
00:0c:29:69:a2:3c,01:00:5e:00:00:16,10.134.110.233,224.0.0.22,2
64:00:6a:81:7a:69,01:00:5e:7f:ff:fa,10.134.28.240,239.255.255.250,17
00:0c:29:8a:b6:10,01:00:5e:00:00:16,10.134.101.182,224.0.0.22,2
64:00:6a:72:2f:2c,01:00:5e:7f:ff:fa,10.134.126.60,239.255.255.250,17
00:0c:29:c6:cb:72,01:00:5e:00:00:16,10.134.111.189,224.0.0.22,2
64:00:6a:72:2f:2c,ff:ff:ff:ff:ff:ff,,,
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
64:00:6a:72:2f:2c,ff:ff:ff:ff:ff:ff,,,
84:5b:12:5e:36:0a,33:33:ff:05:58:b3,,,
6c:0b:84:67:c4:2e,01:00:5e:7f:ff:fa,10.134.127.99,239.255.255.250,17
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
64:00:6a:72:2f:2c,ff:ff:ff:ff:ff:ff,,,
78:2b:cb:17:08:c8,ff:ff:ff:ff:ff:ff,,,
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
90:b1:1c:82:a2:31,33:33:ff:c5:af:70,,,
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
64:00:6a:81:7a:69,01:00:5e:7f:ff:fa,10.134.28.240,239.255.255.250,17
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
64:00:6a:72:2f:2c,01:00:5e:7f:ff:fa,10.134.126.60,239.255.255.250,17
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
64:00:6a:72:2f:2c,ff:ff:ff:ff:ff:ff,,,
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
64:00:6a:72:2f:2c,ff:ff:ff:ff:ff:ff,,,
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
78:2b:cb:97:1a:23,33:33:ff:c5:af:70,,,
6c:0b:84:67:c4:2e,01:00:5e:7f:ff:fa,10.134.127.99,239.255.255.250,17
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
64:00:6a:72:2f:2c,ff:ff:ff:ff:ff:ff,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,33:33:00:00:00:16,,,
64:00:6a:72:2f:2c,33:33:00:00:00:16,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,33:33:00:00:00:0c,,,
64:00:6a:72:2f:2c,01:00:5e:7f:ff:fa,10.134.126.60,239.255.255.250,17
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,33:33:00:00:00:16,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
64:00:6a:72:2f:2c,33:33:00:01:00:03,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:fc,10.134.126.60,224.0.0.252,17
64:00:6a:72:2f:2c,01:00:5e:7f:ff:fa,10.134.126.60,239.255.255.250,17
64:00:6a:72:2f:2c,33:33:00:00:00:0c,,,
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
64:00:6a:72:2f:2c,33:33:00:00:00:0c,,,
64:00:6a:72:2f:2c,01:00:5e:7f:ff:fa,10.134.126.60,239.255.255.250,17
64:00:6a:72:2f:2c,33:33:00:00:00:0c,,,
64:00:6a:72:2f:2c,01:00:5e:7f:ff:fa,10.134.126.60,239.255.255.250,17
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
64:00:6a:72:2f:2c,ff:ff:ff:ff:ff:ff,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,33:33:00:00:00:16,,,
64:00:6a:72:2f:2c,33:33:00:00:00:16,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,33:33:00:00:00:16,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,01:00:5e:7f:ff:fa,10.134.126.60,239.255.255.250,17
64:00:6a:72:2f:2c,33:33:00:00:00:0c,,,
64:00:6a:72:2f:2c,33:33:00:01:00:03,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:fc,10.134.126.60,224.0.0.252,17
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
64:00:6a:72:2f:2c,33:33:00:00:00:0c,,,
64:00:6a:72:2f:2c,01:00:5e:7f:ff:fa,10.134.126.60,239.255.255.250,17
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,33:33:00:00:00:16,,,
64:00:6a:72:2f:2c,33:33:00:00:00:16,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,33:33:00:01:00:03,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:fc,10.134.126.60,224.0.0.252,17
64:00:6a:72:2f:2c,01:00:5e:00:00:16,10.134.126.60,224.0.0.22,2
64:00:6a:72:2f:2c,33:33:00:00:00:16,,,
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
64:00:6a:72:2f:2c,33:33:00:01:00:03,,,
64:00:6a:72:2f:2c,01:00:5e:00:00:fc,10.134.126.60,224.0.0.252,17
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,93.46.8.89,6
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
84:5b:12:5e:36:0a,33:33:ff:c6:e5:23,,,
64:00:6a:81:7a:69,01:00:5e:7f:ff:fa,10.134.28.240,239.255.255.250,17
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
64:00:6a:72:2f:2c,01:00:5e:7f:ff:fa,10.134.126.60,239.255.255.250,17
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
90:b1:1c:a4:c3:35,01:00:5e:7f:ff:fa,10.134.89.239,239.255.255.250,17
64:00:6a:72:2f:2c,33:33:ff:c5:af:70,,,
64:00:6a:89:05:2e,ff:ff:ff:ff:ff:ff,,,
6c:0b:84:67:c4:2e,01:00:5e:7f:ff:fa,10.134.127.99,239.255.255.250,17
64:00:6a:7b:66:52,33:33:00:01:00:02,,,
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
5c:f9:dd:76:84:0b,84:5b:12:5e:36:0a,,,
84:5b:12:5e:36:0a,5c:f9:dd:76:84:0b,,,
64:00:6a:89:5d:ab,01:00:5e:7f:ff:fa,10.134.127.203,239.255.255.250,17
64:00:6a:89:5d:ab,01:00:5e:7f:ff:fa,10.134.127.203,239.255.255.250,17
d0:67:e5:07:98:c2,33:33:00:00:00:16,,,
d0:67:e5:07:98:c2,01:00:5e:00:00:16,10.134.127.5,224.0.0.22,2
d0:67:e5:07:98:c2,33:33:00:00:00:16,,,
d0:67:e5:07:98:c2,01:00:5e:00:00:16,10.134.127.5,224.0.0.22,2
d0:67:e5:07:98:c2,01:00:5e:00:00:16,10.134.127.5,224.0.0.22,2
d0:67:e5:07:98:c2,33:33:00:00:00:16,,,
d0:67:e5:07:98:c2,01:00:5e:00:00:16,10.134.127.5,224.0.0.22,2
d0:67:e5:07:98:c2,33:33:00:00:00:16,,,
d0:67:e5:07:98:c2,01:00:5e:00:00:16,10.134.127.5,224.0.0.22,2
d0:67:e5:07:98:c2,33:33:00:00:00:16,,,
d0:67:e5:07:98:c2,01:00:5e:00:00:16,10.134.127.5,224.0.0.22,2
d0:67:e5:07:98:c2,33:33:00:00:00:16,,,
d0:67:e5:07:98:c2,01:00:5e:00:00:16,10.134.127.5,224.0.0.22,2
d0:67:e5:07:98:c2,33:33:00:00:00:16,,,
d0:67:e5:07:98:c2,01:00:5e:00:00:16,10.134.127.5,224.0.0.22,2
d0:67:e5:07:98:c2,01:00:5e:00:00:16,10.134.127.5,224.0.0.22,2
d0:67:e5:07:98:c2,33:33:00:01:00:03,,,
d0:67:e5:07:98:c2,01:00:5e:00:00:fc,10.134.127.5,224.0.0.252,17
d0:67:e5:07:98:c2,01:00:5e:7f:ff:fa,10.134.127.5,239.255.255.250,17
64:00:6a:89:05:2e,ff:ff:ff:ff:ff:ff,,,
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,202.113.16.10,17
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,202.113.16.20,17
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,202.113.16.10,17
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,104.16.112.18,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,104.16.112.18,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,104.16.112.18,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,104.16.2.9,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,23.199.85.209,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,223.119.236.226,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,151.101.129.69,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,61.135.248.26,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,202.113.16.10,17
